STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Haswell EN/EP/EX processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,2.394343467 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region csr,Group 1 Raw,UOPS,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,Core 0,Core 1,Core 2,Core 3,Core 4,Core 5,Core 6,Core 7,Core 8,Core 9,Core 10,Core 11,Core 12,Core 13,Core 14,Core 15,Core 16,Core 17,Core 18,Core 19,Core 20,Core 21,Core 22,Core 23,Core 24,Core 25,Core 26,Core 27,Core 28,Core 29,Core 30,Core 31,
TABLE,Region csr,Group 1 Metric STAT,UOPS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,80.3510,2.2648,2.7370,2.5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runtime unhalted [s] STAT,88.5473,1.5565,3.1046,2.7671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock [MHz] STAT,82301.9551,2556.6045,2579.9165,2571.9361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI STAT,46.4347,1.4183,1.4764,1.4511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issued UOPs STAT,168453603000,3004793000,6152564000,5.264175e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merged UOPs STAT,247837128,4054739,8612826,7.744910e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executed UOPs STAT,170373530000,3202321000,6364362000,5.324173e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired UOPs STAT,184458445000,3276202000,6670980000,5.764326e+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
